JSON_Field_Path,Loop_Name,Segment_Name,Element_Number,Element_Description,Notes
claim_lines.service_dates,2400,DTP,1,Date/Time Qualifier,Date type code
claim_lines.service_dates,2400,DTP,2,Date Time Period Format Qualifier,Date format
claim_lines.service_dates,2400,DTP,3,Date Time Period,Date value
diagnosis.principal_dx_cd,2300,HI,1,Health Care Code Information,Principal diagnosis code (when qualifier=ABK)
diagnosis.principal_dx_poa,2300,HI,1,Health Care Code Information,Principal diagnosis POA indicator (last sub-element)
diagnosis.admitting_dx_cd,2300,HI,1,Health Care Code Information,Admitting diagnosis code (when qualifier=ABJ)
diagnosis.admitting_dx_poa,2300,HI,1,Health Care Code Information,Admitting diagnosis POA indicator (last sub-element)
diagnosis.reason_visit_dx_cd,2300,HI,1,Health Care Code Information,Reason for visit diagnosis code (when qualifier=APR)
diagnosis.reason_visit_dx_poa,2300,HI,1,Health Care Code Information,Reason for visit diagnosis POA indicator (last sub-element)
diagnosis.external_injury_dx_cd,2300,HI,1,Health Care Code Information,External cause of injury diagnosis code (when qualifier=ABN)
diagnosis.external_injury_dx_poa,2300,HI,1,Health Care Code Information,External cause of injury diagnosis POA indicator (last sub-element)
diagnosis.other_dx_cds,2300,HI,1,Health Care Code Information,Other diagnosis codes (when qualifier=ABF)
diagnosis.other_dx_cds,2300,HI,1,Health Care Code Information,Other diagnosis POA indicators (last sub-element of each diagnosis) 
