JSON_Field_Path,Loop_Name,Segment_Name,Element_Number,Element_Description,Notes
claim_header.admission_src_cd,2300,CL1,2,Admission Source Code,1=Physician Referral, 2=Clinic Referral, 3=HMO Referral, 4=Transfer from Hospital, 5=Transfer from SNF, 6=Transfer from Another Health Care Facility, 7=Emergency Room, 8=Court/Law Enforcement, 9=Information Not Available, A=Transfer from Critical Access Hospital, B=Transfer from Another Home Health Agency, C=Readmission to Same Home Health Agency, D=Not Available, E=Transfer from Hospital Inpatient in Same Facility Resulting in Separate Claim to Carriers, F=Transfer from Ambulatory Surgery Center, G=Transfer to Hospice and Under Hospice Election for All Hospice Care, H=Transfer to Hospice and Revoke Hospice Election for Non-Hospice Provider, I=Transfer to/from Inpatient Rehabilitation Facility (IRF) Including Distinct Part Units of a Hospital, J=Transfer to/from Long Term Care Hospital (LTCH), K=Transfer from Distinct Part Unit of a Hospital, L=Transfer from a SNF or ICF, M=Transfer from Ambulatory Surgery Center, N=Transfer from Hospice and Revoke Election for Non-Hospice Provider, P=Readmission to Same Inpatient Rehabilitation Facility (IRF), Q=Not Applicable, R=Not Applicable, S=Not Applicable, T=Not Applicable, U=Not Applicable, V=Not Applicable, W=Not Applicable, X=Not Applicable, Y=Not Applicable, Z=Not Applicable
claim_header.discharge_status_cd,2300,CL1,3,Patient Status Code,01=Discharged to Home or Self Care, 02=Discharged/Transferred to Another Short Term General Hospital for Inpatient Care, 03=Discharged/Transferred to SNF, 04=Discharged/Transferred to ICF, 05=Discharged/Transferred to Another Type of Institution for Inpatient Care or Referred for Outpatient Services to Another Institution, 06=Discharged/Transferred to Home Under Care of Organized Home Health Service Organization, 07=Left Against Medical Advice or Discontinued Care, 08=Discharged/Transferred to Home Under Care of a Home IV Drug Therapy Provider, 09=Admitted as an Inpatient to This Hospital, 20=Expired, 21=Discharged/Transferred to Court/Law Enforcement, 30=Still Patient or Expected to Return for Outpatient Services, 40=Expired at Home, 41=Expired in a Medical Facility, 42=Expired - Place Unknown, 43=Discharged/Transferred to a Federal Health Care Facility, 50=Discharged to Hospice - Home, 51=Discharged to Hospice - Medical Facility, 61=Discharged/Transferred Within This Institution to a Hospital Based Medicare Approved Swing Bed, 62=Discharged/Transferred to an Inpatient Rehabilitation Facility (IRF) Including Distinct Part Units of a Hospital, 63=Discharged/Transferred to a Medicare Certified Long Term Care Hospital (LTCH), 64=Discharged/Transferred to a Nursing Facility Certified Under Medicaid but Not Certified Under Medicare, 65=Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital, 66=Discharged/Transferred to a Critical Access Hospital (CAH), 69=Discharged/Transferred to Another Type of Institution Not Listed Above, 70=Discharged/Transferred to Another Type of Institution Not Listed Above, 71=Discharged/Transferred to Another Type of Institution Not Listed Above, 72=Discharged/Transferred to Another Type of Institution Not Listed Above, 81=Discharged to Home or Self Care with a Written Plan of Home Health Service, 82=Discharged to Home or Self Care with a Written Plan of Home Health Service, 83=Discharged to Home or Self Care with a Written Plan of Home Health Service, 84=Discharged to Home or Self Care with a Written Plan of Home Health Service, 85=Discharged to Home or Self Care with a Written Plan of Home Health Service, 86=Discharged to Home or Self Care with a Written Plan of Home Health Service, 87=Discharged to Home or Self Care with a Written Plan of Home Health Service, 88=Discharged to Home or Self Care with a Written Plan of Home Health Service, 89=Discharged to Home or Self Care with a Written Plan of Home Health Service, 90=Discharged to Home or Self Care with a Written Plan of Home Health Service, 91=Discharged to Home or Self Care with a Written Plan of Home Health Service, 92=Discharged to Home or Self Care with a Written Plan of Home Health Service, 93=Discharged to Home or Self Care with a Written Plan of Home Health Service, 94=Discharged to Home or Self Care with a Written Plan of Home Health Service, 95=Discharged to Home or Self Care with a Written Plan of Home Health Service, 96=Discharged to Home or Self Care with a Written Plan of Home Health Service, 97=Discharged to Home or Self Care with a Written Plan of Home Health Service, 98=Discharged to Home or Self Care with a Written Plan of Home Health Service, 99=Discharged to Home or Self Care with a Written Plan of Home Health Service, A1=Discharged to Home or Self Care with a Written Plan of Home Health Service, A2=Discharged to Home or Self Care with a Written Plan of Home Health Service, A3=Discharged to Home or Self Care with a Written Plan of Home Health Service, A4=Discharged to Home or Self Care with a Written Plan of Home Health Service, A5=Discharged to Home or Self Care with a Written Plan of Home Health Service, A6=Discharged to Home or Self Care with a Written Plan of Home Health Service, A7=Discharged to Home or Self Care with a Written Plan of Home Health Service, A8=Discharged to Home or Self Care with a Written Plan of Home Health Service, A9=Discharged to Home or Self Care with a Written Plan of Home Health Service, B1=Discharged to Home or Self Care with a Written Plan of Home Health Service, B2=Discharged to Home or Self Care with a Written Plan of Home Health Service, B3=Discharged to Home or Self Care with a Written Plan of Home Health Service, B4=Discharged to Home or Self Care with a Written Plan of Home Health Service, B5=Discharged to Home or Self Care with a Written Plan of Home Health Service, B6=Discharged to Home or Self Care with a Written Plan of Home Health Service, B7=Discharged to Home or Self Care with a Written Plan of Home Health Service, B8=Discharged to Home or Self Care with a Written Plan of Home Health Service, B9=Discharged to Home or Self Care with a Written Plan of Home Health Service, C1=Discharged to Home or Self Care with a Written Plan of Home Health Service, C2=Discharged to Home or Self Care with a Written Plan of Home Health Service, C3=Discharged to Home or Self Care with a Written Plan of Home Health Service, C4=Discharged to Home or Self Care with a Written Plan of Home Health Service, C5=Discharged to Home or Self Care with a Written Plan of Home Health Service, C6=Discharged to Home or Self Care with a Written Plan of Home Health Service, C7=Discharged to Home or Self Care with a Written Plan of Home Health Service, C8=Discharged to Home or Self Care with a Written Plan of Home Health Service, C9=Discharged to Home or Self Care with a Written Plan of Home Health Service, D1=Discharged to Home or Self Care with a Written Plan of Home Health Service, D2=Discharged to Home or Self Care with a Written Plan of Home Health Service, D3=Discharged to Home or Self Care with a Written Plan of Home Health Service, D4=Discharged to Home or Self Care with a Written Plan of Home Health Service, D5=Discharged to Home or Self Care with a Written Plan of Home Health Service, D6=Discharged to Home or Self Care with a Written Plan of Home Health Service, D7=Discharged to Home or Self Care with a Written Plan of Home Health Service, D8=Discharged to Home or Self Care with a Written Plan of Home Health Service, D9=Discharged to Home or Self Care with a Written Plan of Home Health Service, E1=Discharged to Home or Self Care with a Written Plan of Home Health Service, E2=Discharged to Home or Self Care with a Written Plan of Home Health Service, E3=Discharged to Home or Self Care with a Written Plan of Home Health Service, E4=Discharged to Home or Self Care with a Written Plan of Home Health Service, E5=Discharged to Home or Self Care with a Written Plan of Home Health Service, E6=Discharged to Home or Self Care with a Written Plan of Home Health Service, E7=Discharged to Home or Self Care with a Written Plan of Home Health Service, E8=Discharged to Home or Self Care with a Written Plan of Home Health Service, E9=Discharged to Home or Self Care with a Written Plan of Home Health Service, F1=Discharged to Home or Self Care with a Written Plan of Home Health Service, F2=Discharged to Home or Self Care with a Written Plan of Home Health Service, F3=Discharged to Home or Self Care with a Written Plan of Home Health Service, F4=Discharged to Home or Self Care with a Written Plan of Home Health Service, F5=Discharged to Home or Self Care with a Written Plan of Home Health Service, F6=Discharged to Home or Self Care with a Written Plan of Home Health Service, F7=Discharged to Home or Self Care with a Written Plan of Home Health Service, F8=Discharged to Home or Self Care with a Written Plan of Home Health Service, F9=Discharged to Home or Self Care with a Written Plan of Home Health Service, G1=Discharged to Home or Self Care with a Written Plan of Home Health Service, G2=Discharged to Home or Self Care with a Written Plan of Home Health Service, G3=Discharged to Home or Self Care with a Written Plan of Home Health Service, G4=Discharged to Home or Self Care with a Written Plan of Home Health Service, G5=Discharged to Home or Self Care with a Written Plan of Home Health Service, G6=Discharged to Home or Self Care with a Written Plan of Home Health Service, G7=Discharged to Home or Self Care with a Written Plan of Home Health Service, G8=Discharged to Home or Self Care with a Written Plan of Home Health Service, G9=Discharged to Home or Self Care with a Written Plan of Home Health Service, H1=Discharged to Home or Self Care with a Written Plan of Home Health Service, H2=Discharged to Home or Self Care with a Written Plan of Home Health Service, H3=Discharged to Home or Self Care with a Written Plan of Home Health Service, H4=Discharged to Home or Self Care with a Written Plan of Home Health Service, H5=Discharged to Home or Self Care with a Written Plan of Home Health Service, H6=Discharged to Home or Self Care with a Written Plan of Home Health Service, H7=Discharged to Home or Self Care with a Written Plan of Home Health Service, H8=Discharged to Home or Self Care with a Written Plan of Home Health Service, H9=Discharged to Home or Self Care with a Written Plan of Home Health Service, I1=Discharged to Home or Self Care with a Written Plan of Home Health Service, I2=Discharged to Home or Self Care with a Written Plan of Home Health Service, I3=Discharged to Home or Self Care with a Written Plan of Home Health Service, I4=Discharged to Home or Self Care with a Written Plan of Home Health Service, I5=Discharged to Home or Self Care with a Written Plan of Home Health Service, I6=Discharged to Home or Self Care with a Written Plan of Home Health Service, I7=Discharged to Home or Self Care with a Written Plan of Home Health Service, I8=Discharged to Home or Self Care with a Written Plan of Home Health Service, I9=Discharged to Home or Self Care with a Written Plan of Home Health Service, J1=Discharged to Home or Self Care with a Written Plan of Home Health Service, J2=Discharged to Home or Self Care with a Written Plan of Home Health Service, J3=Discharged to Home or Self Care with a Written Plan of Home Health Service, J4=Discharged to Home or Self Care with a Written Plan of Home Health Service, J5=Discharged to Home or Self Care with a Written Plan of Home Health Service, J6=Discharged to Home or Self Care with a Written Plan of Home Health Service, J7=Discharged to Home or Self Care with a Written Plan of Home Health Service, J8=Discharged to Home or Self Care with a Written Plan of Home Health Service, J9=Discharged to Home or Self Care with a Written Plan of Home Health Service, K1=Discharged to Home or Self Care with a Written Plan of Home Health Service, K2=Discharged to Home or Self Care with a Written Plan of Home Health Service, K3=Discharged to Home or Self Care with a Written Plan of Home Health Service, K4=Discharged to Home or Self Care with a Written Plan of Home Health Service, K5=Discharged to Home or Self Care with a Written Plan of Home Health Service, K6=Discharged to Home or Self Care with a Written Plan of Home Health Service, K7=Discharged to Home or Self Care with a Written Plan of Home Health Service, K8=Discharged to Home or Self Care with a Written Plan of Home Health Service, K9=Discharged to Home or Self Care with a Written Plan of Home Health Service, L1=Discharged to Home or Self Care with a Written Plan of Home Health Service, L2=Discharged to Home or Self Care with a Written Plan of Home Health Service, L3=Discharged to Home or Self Care with a Written Plan of Home Health Service, L4=Discharged to Home or Self Care with a Written Plan of Home Health Service, L5=Discharged to Home or Self Care with a Written Plan of Home Health Service, L6=Discharged to Home or Self Care with a Written Plan of Home Health Service, L7=Discharged to Home or Self Care with a Written Plan of Home Health Service, L8=Discharged to Home or Self Care with a Written Plan of Home Health Service, L9=Discharged to Home or Self Care with a Written Plan of Home Health Service, M1=Discharged to Home or Self Care with a Written Plan of Home Health Service, M2=Discharged to Home or Self Care with a Written Plan of Home Health Service, M3=Discharged to Home or Self Care with a Written Plan of Home Health Service, M4=Discharged to Home or Self Care with a Written Plan of Home Health Service, M5=Discharged to Home or Self Care with a Written Plan of Home Health Service, M6=Discharged to Home or Self Care with a Written Plan of Home Health Service, M7=Discharged to Home or Self Care with a Written Plan of Home Health Service, M8=Discharged to Home or Self Care with a Written Plan of Home Health Service, M9=Discharged to Home or Self Care with a Written Plan of Home Health Service, N1=Discharged to Home or Self Care with a Written Plan of Home Health Service, N2=Discharged to Home or Self Care with a Written Plan of Home Health Service, N3=Discharged to Home or Self Care with a Written Plan of Home Health Service, N4=Discharged to Home or Self Care with a Written Plan of Home Health Service, N5=Discharged to Home or Self Care with a Written Plan of Home Health Service, N6=Discharged to Home or Self Care with a Written Plan of Home Health Service, N7=Discharged to Home or Self Care with a Written Plan of Home Health Service, N8=Discharged to Home or Self Care with a Written Plan of Home Health Service, N9=Discharged to Home or Self Care with a Written Plan of Home Health Service, O1=Discharged to Home or Self Care with a Written Plan of Home Health Service, O2=Discharged to Home or Self Care with a Written Plan of Home Health Service, O3=Discharged to Home or Self Care with a Written Plan of Home Health Service, O4=Discharged to Home or Self Care with a Written Plan of Home Health Service, O5=Discharged to Home or Self Care with a Written Plan of Home Health Service, O6=Discharged to Home or Self Care with a Written Plan of Home Health Service, O7=Discharged to Home or Self Care with a Written Plan of Home Health Service, O8=Discharged to Home or Self Care with a Written Plan of Home Health Service, O9=Discharged to Home or Self Care with a Written Plan of Home Health Service, P1=Discharged to Home or Self Care with a Written Plan of Home Health Service, P2=Discharged to Home or Self Care with a Written Plan of Home Health Service, P3=Discharged to Home or Self Care with a Written Plan of Home Health Service, P4=Discharged to Home or Self Care with a Written Plan of Home Health Service, P5=Discharged to Home or Self Care with a Written Plan of Home Health Service, P6=Discharged to Home or Self Care with a Written Plan of Home Health Service, P7=Discharged to Home or Self Care with a Written Plan of Home Health Service, P8=Discharged to Home or Self Care with a Written Plan of Home Health Service, P9=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q1=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q2=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q3=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q4=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q5=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q6=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q7=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q8=Discharged to Home or Self Care with a Written Plan of Home Health Service, Q9=Discharged to Home or Self Care with a Written Plan of Home Health Service, R1=Discharged to Home or Self Care with a Written Plan of Home Health Service, R2=Discharged to Home or Self Care with a Written Plan of Home Health Service, R3=Discharged to Home or Self Care with a Written Plan of Home Health Service, R4=Discharged to Home or Self Care with a Written Plan of Home Health Service, R5=Discharged to Home or Self Care with a Written Plan of Home Health Service, R6=Discharged to Home or Self Care with a Written Plan of Home Health Service, R7=Discharged to Home or Self Care with a Written Plan of Home Health Service, R8=Discharged to Home or Self Care with a Written Plan of Home Health Service, R9=Discharged to Home or Self Care with a Written Plan of Home Health Service, S1=Discharged to Home or Self Care with a Written Plan of Home Health Service, S2=Discharged to Home or Self Care with a Written Plan of Home Health Service, S3=Discharged to Home or Self Care with a Written Plan of Home Health Service, S4=Discharged to Home or Self Care with a Written Plan of Home Health Service, S5=Discharged to Home or Self Care with a Written Plan of Home Health Service, S6=Discharged to Home or Self Care with a Written Plan of Home Health Service, S7=Discharged to Home or Self Care with a Written Plan of Home Health Service, S8=Discharged to Home or Self Care with a Written Plan of Home Health Service, S9=Discharged to Home or Self Care with a Written Plan of Home Health Service, T1=Discharged to Home or Self Care with a Written Plan of Home Health Service, T2=Discharged to Home or Self Care with a Written Plan of Home Health Service, T3=Discharged to Home or Self Care with a Written Plan of Home Health Service, T4=Discharged to Home or Self Care with a Written Plan of Home Health Service, T5=Discharged to Home or Self Care with a Written Plan of Home Health Service, T6=Discharged to Home or Self Care with a Written Plan of Home Health Service, T7=Discharged to Home or Self Care with a Written Plan of Home Health Service, T8=Discharged to Home or Self Care with a Written Plan of Home Health Service, T9=Discharged to Home or Self Care with a Written Plan of Home Health Service, U1=Discharged to Home or Self Care with a Written Plan of Home Health Service, U2=Discharged to Home or Self Care with a Written Plan of Home Health Service, U3=Discharged to Home or Self Care with a Written Plan of Home Health Service, U4=Discharged to Home or Self Care with a Written Plan of Home Health Service, U5=Discharged to Home or Self Care with a Written Plan of Home Health Service, U6=Discharged to Home or Self Care with a Written Plan of Home Health Service, U7=Discharged to Home or Self Care with a Written Plan of Home Health Service, U8=Discharged to Home or Self Care with a Written Plan of Home Health Service, U9=Discharged to Home or Self Care with a Written Plan of Home Health Service, V1=Discharged to Home or Self Care with a Written Plan of Home Health Service, V2=Discharged to Home or Self Care with a Written Plan of Home Health Service, V3=Discharged to Home or Self Care with a Written Plan of Home Health Service, V4=Discharged to Home or Self Care with a Written Plan of Home Health Service, V5=Discharged to Home or Self Care with a Written Plan of Home Health Service, V6=Discharged to Home or Self Care with a Written Plan of Home Health Service, V7=Discharged to Home or Self Care with a Written Plan of Home Health Service, V8=Discharged to Home or Self Care with a Written Plan of Home Health Service, V9=Discharged to Home or Self Care with a Written Plan of Home Health Service, W1=Discharged to Home or Self Care with a Written Plan of Home Health Service, W2=Discharged to Home or Self Care with a Written Plan of Home Health Service, W3=Discharged to Home or Self Care with a Written Plan of Home Health Service, W4=Discharged to Home or Self Care with a Written Plan of Home Health Service, W5=Discharged to Home or Self Care with a Written Plan of Home Health Service, W6=Discharged to Home or Self Care with a Written Plan of Home Health Service, W7=Discharged to Home or Self Care with a Written Plan of Home Health Service, W8=Discharged to Home or Self Care with a Written Plan of Home Health Service, W9=Discharged to Home or Self Care with a Written Plan of Home Health Service, X1=Discharged to Home or Self Care with a Written Plan of Home Health Service, X2=Discharged to Home or Self Care with a Written Plan of Home Health Service, X3=Discharged to Home or Self Care with a Written Plan of Home Health Service, X4=Discharged to Home or Self Care with a Written Plan of Home Health Service, X5=Discharged to Home or Self Care with a Written Plan of Home Health Service, X6=Discharged to Home or Self Care with a Written Plan of Home Health Service, X7=Discharged to Home or Self Care with a Written Plan of Home Health Service, X8=Discharged to Home or Self Care with a Written Plan of Home Health Service, X9=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y1=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y2=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y3=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y4=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y5=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y6=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y7=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y8=Discharged to Home or Self Care with a Written Plan of Home Health Service, Y9=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z1=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z2=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z3=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z4=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z5=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z6=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z7=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z8=Discharged to Home or Self Care with a Written Plan of Home Health Service, Z9=Discharged to Home or Self Care with a Written Plan of Home Health Service
claim_header.encounter_id,2300,K3,1,File Information,Encounter identifier
claim_header.drg_cd,2300,HI,1,Health Care Code Information,DRG code (when qualifier starts with DR)
claim_header.clm_refs,2300,REF,1,Reference Identification Qualifier,Reference qualifier
claim_header.clm_refs,2300,REF,2,Reference Identification,Reference ID
claim_header.other_amts,2300,AMT,1,Amount Qualifier Code,Amount qualifier
claim_header.other_amts,2300,AMT,2,Monetary Amount,Amount value
claim_header.icd10_pcs_cds.principal_prcdr.prcdr_cd,2300,HI,1,Health Care Code Information,Principal procedure code (when qualifier=BBR)
claim_header.icd10_pcs_cds.principal_prcdr.date_format,2300,HI,2,Date Time Period Format Qualifier,Date format for principal procedure
claim_header.icd10_pcs_cds.principal_prcdr.date,2300,HI,3,Date Time Period,Date for principal procedure
claim_header.icd10_pcs_cds.other_cds,2300,HI,1,Health Care Code Information,Other procedure codes (when qualifier=BBQ)
claim_lines.claim_line_number,2400,LX,1,Assigned Number,Line item number
claim_lines.service_dates,2400,DTP,1,Date/Time Qualifier,Date type code
claim_lines.service_dates,2400,DTP,2,Date Time Period Format Qualifier,Date format
claim_lines.service_dates,2400,DTP,3,Date Time Period,Date value
claim_lines.other_amts,2400,AMT,1,Amount Qualifier Code,Amount qualifier
claim_lines.other_amts,2400,AMT,2,Monetary Amount,Amount value
claim_lines.units,2400,SV2,5,Unit or Basis for Measurement Code,Units of service
claim_lines.units_measurement,2400,SV2,4,Unit or Basis for Measurement Code,Unit of measurement
